,Unnamed: 0,show_id,type,title,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,target_ages,principal_country,genre
156,156,81020518,TV Show,Criminal: Germany,United States,"September 20, 2019",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In the interview room, detectives go head-to-head with suspects and try to get to the truth – even if it means breaking the rules and risking it all.",2019,September,Adults,United States,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
157,157,81020523,TV Show,Criminal: Spain,United States,"September 20, 2019",2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Psychological games abound between detectives and suspects in a tense interrogation room, where the search for answers sometimes comes at a moral cost.",2019,September,Adults,United States,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']"
158,158,80216172,TV Show,Criminal: UK,"United Kingdom, France, Germany, Spain","September 20, 2019",2019,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows","Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime.",2019,September,Adults,United Kingdom,"['British TV Shows', 'Crime TV Shows', 'International TV Shows']"
160,160,80184771,TV Show,Inside Bill's Brain: Decoding Bill Gates,United States,"September 20, 2019",2019,TV-14,1 Season,"Docuseries, Science & Nature TV",Take a trip inside the mind of Bill Gates as the billionaire opens up about those who influenced him and the audacious goals he's still pursuing.,2019,September,Teens,United States,"['Docuseries', 'Science & Nature TV']"
161,161,81000389,TV Show,The Hockey Girls,Spain,"September 20, 2019",2019,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas","The passionate members of a girls' roller hockey team chase down victories in the rink while striving to make time for school, family and romance.",2019,September,Adults,Spain,"['International TV Shows', 'TV Comedies', 'TV Dramas']"
164,164,80244627,TV Show,Two Sentence Horror Stories,United States,"September 20, 2019",2019,TV-14,1 Season,"TV Horror, Teen TV Shows",This anthology series of terror features diverse characters facing primal fears in spine-chilling situations that stretch past daily routine.,2019,September,Teens,United States,"['TV Horror', 'Teen TV Shows']"
166,166,80189183,TV Show,Mobile Suit Gundam UC,Japan,"September 20, 2018",2014,TV-14,1 Season,"Anime Series, International TV Shows","When Banagher Links meets the mysterious Audrey Burne, he inherits the Unicorn Gundam and is swept up into the battle for space colony independence.",2018,September,Teens,Japan,"['Anime Series', 'International TV Shows']"
170,170,80224294,TV Show,Monkey Twins,Thailand,"September 2, 2018",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","Inspired by Khon dance drama and Thai martial arts, a fighter scarred by the past joins forces with a determined cop to battle an organized crime ring.",2018,September,Adults,Thailand,"['Crime TV Shows', 'International TV Shows', 'TV Action & Adventure']"
174,174,80128096,TV Show,Chef's Table: France,United States,"September 2, 2016",2016,TV-14,1 Season,Docuseries,Sample the bold new flavors of France with chefs who are pushing the boundaries of fine dining and reinventing a rich culinary tradition.,2016,September,Teens,United States,['Docuseries']
175,175,80057610,TV Show,Kulipari: An Army of Frogs,United States,"September 2, 2016",2016,TV-Y7-FV,1 Season,Kids' TV,"In a tale of bravery and heroism, fearless frogs go to war against the sinister scorpions and spiders that have teamed up to conquer the amphibians.",2016,September,Older Kids,United States,"[""Kids' TV""]"
180,180,70259208,TV Show,Transformers: Rescue Bots,"Canada, United States","September 19, 2018",2016,TV-Y7,1 Season,Kids' TV,"Follow the adventure of four young transformers, Heatwave, Chase, Blades and Boulder, and their human counterparts: a family of emergency responders.",2018,September,Older Kids,Canada,"[""Kids' TV""]"
182,182,80176878,TV Show,Manhunt,United States,"September 19, 2017",2017,TV-14,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries","Faced with few clues and an increasingly panicked public, the FBI calls on a new kind of profiler to help track down the infamous Unabomber.",2017,September,Teens,United States,"['Crime TV Shows', 'TV Dramas', 'TV Mysteries']"
190,190,81144925,TV Show,When the Camellia Blooms,South Korea,"September 18, 2019",2019,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","Dongbaek is a single mother. When a potential new love enters her life, she finds ways to defy the social stigmas surrounding her.",2019,September,Teens,South Korea,"['International TV Shows', 'Korean TV Shows', 'Romantic TV Shows']"
193,193,80136785,TV Show,Forget Me Not,United Kingdom,"September 18, 2017",2011,TV-MA,1 Season,"International TV Shows, TV Dramas","Teenage Xue Ming was forced to marry the man who raped her. Years after abandoning her young sons to find a better life, can she escape the guilt?",2017,September,Adults,United Kingdom,"['International TV Shows', 'TV Dramas']"
194,194,80135278,TV Show,The Beat,United States,"September 18, 2017",2012,TV-PG,1 Season,"International TV Shows, TV Dramas","The artistic pursuits of two childhood friends, an aspiring singer and a talented dancer, lead them to four other 20-somethings in a drumming group.",2017,September,Older Kids,United States,"['International TV Shows', 'TV Dramas']"
195,195,80136452,TV Show,Timeless Season,United States,"September 18, 2017",2009,TV-14,1 Season,"International TV Shows, TV Dramas","A decade after college, a wake reunites five female friends struggling with illness, infidelity, toxic in-laws, spousal abuse and other life issues.",2017,September,Teens,United States,"['International TV Shows', 'TV Dramas']"
198,198,70178604,TV Show,Ancient Aliens,United States,"September 17, 2019",2010,TV-PG,1 Season,"Docuseries, Science & Nature TV","Were ancient humans really behind some of the most important technological advances in civilized history, or did they have extraterrestrial help?",2019,September,Older Kids,United States,"['Docuseries', 'Science & Nature TV']"
203,203,80219119,TV Show,The Last Kids on Earth,United States,"September 17, 2019",2019,TV-Y7-FV,1 Season,"Kids' TV, TV Comedies","When zombies and monsters invade his hometown, a scrappy 13-year-old orphan teams up with his friends in hopes of surviving the chaos.",2019,September,Older Kids,United States,"[""Kids' TV"", 'TV Comedies']"
205,205,80165072,TV Show,Click for Murder,United Kingdom,"September 17, 2017",2017,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Crime journalist Donal MacIntyre reveals how deadly the internet can be as he dissects the technological methods behind heinous acts.,2017,September,Teens,United Kingdom,"['British TV Shows', 'Crime TV Shows', 'Docuseries']"
214,214,70251519,TV Show,America's Book of Secrets,United States,"September 15, 2019",2014,TV-14,1 Season,Docuseries,"This engaging documentary series shares the surprising backstories of familiar institutions like the Pentagon, West Point and the Playboy Mansion.",2019,September,Teens,United States,['Docuseries']
215,215,81174992,TV Show,Bakugan: Battle Planet,"Japan, Canada, South Korea","September 15, 2019",2018,TV-PG,1 Season,"Anime Series, Kids' TV",Dan Kouzo and his pals bond with mysterious creatures known as Bakugan while fighting sinister forces out to control the world.,2019,September,Older Kids,Japan,"['Anime Series', ""Kids' TV""]"
216,216,81044365,TV Show,Cold Case Files,United States,"September 15, 2019",2017,TV-14,1 Season,"Crime TV Shows, Docuseries",Masterful detectives utilize forensic science and criminal psychology to re-examine long-standing cases.,2019,September,Teens,United States,"['Crime TV Shows', 'Docuseries']"
218,218,70143865,TV Show,Pawn Stars,United States,"September 15, 2019",2010,TV-PG,1 Season,Reality TV,"Father Richard Harrison, son Rick and grandson Corey appraise an array of strange objects brought into their Gold & Silver Pawn Shop in Las Vegas.",2019,September,Older Kids,United States,['Reality TV']
220,220,81069393,TV Show,Surviving R. Kelly,United States,"September 15, 2019",2019,TV-MA,1 Season,Docuseries,"In this documentary series on the tangled history of allegations against musician R. Kelly, women give detailed accounts of sexual and mental abuse.",2019,September,Adults,United States,['Docuseries']
221,221,80012550,TV Show,The Curse of Oak Island,United States,"September 15, 2019",2014,TV-PG,1 Season,Docuseries,"On an ominous island off of Nova Scotia, two brothers chase historical theories on a quest for enigmatic treasure.",2019,September,Older Kids,United States,['Docuseries']
223,223,81176196,TV Show,The Rap Game,United States,"September 15, 2019",2016,TV-14,1 Season,Reality TV,Young lyricists between the ages of 12 and 16 compete for a chance to sign to Jermaine Dupri's label while being mentored by hip-hop and R&B's finest.,2019,September,Teens,United States,['Reality TV']
224,224,70143831,TV Show,The Universe,United States,"September 15, 2019",2009,TV-PG,1 Season,"Docuseries, Science & Nature TV","Discover the secrets of the universe in this series that pairs animation with insights on distant planets, black holes and other celestial marvels.",2019,September,Older Kids,United States,"['Docuseries', 'Science & Nature TV']"
225,225,81003648,TV Show,Al Hayba,Lebanon,"September 15, 2018",2017,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.",2018,September,Teens,Lebanon,"['Crime TV Shows', 'International TV Shows', 'TV Dramas']"
227,227,80241102,TV Show,Cabins in the Wild with Dick Strawbridge,United Kingdom,"September 15, 2018",2017,TV-PG,1 Season,"British TV Shows, International TV Shows, Reality TV","Engineer Dick Strawbridge and craftsman Will Hardie tour eight unique cabins built for a pop-up hotel in Wales, and construct No. 9 on their own.",2018,September,Older Kids,United Kingdom,"['British TV Shows', 'International TV Shows', 'Reality TV']"
233,233,80241103,TV Show,How to Live Mortgage Free with Sarah Beeny,United States,"September 15, 2018",2018,TV-14,1 Season,"British TV Shows, International TV Shows, Reality TV",Real estate expert and TV presenter Sarah Beeny meets with clever property owners who share their colorful stories about living mortgage free.,2018,September,Teens,United States,"['British TV Shows', 'International TV Shows', 'Reality TV']"
234,234,80240816,TV Show,Inside The Freemasons,United Kingdom,"September 15, 2018",2017,TV-14,1 Season,"British TV Shows, Docuseries, International TV Shows","Explore the history and future of the Freemasons, a fraternal order steeped in both secrecy and tradition.",2018,September,Teens,United Kingdom,"['British TV Shows', 'Docuseries', 'International TV Shows']"
247,247,80202129,TV Show,The Five,United Kingdom,"September 15, 2017",2016,TV-MA,1 Season,"British TV Shows, Crime TV Shows, TV Dramas","Twenty years after 5-year-old Jesse disappears near his home, his DNA turns up at the scene of a woman's murder, baffling his family and the police.",2017,September,Adults,United Kingdom,"['British TV Shows', 'Crime TV Shows', 'TV Dramas']"
250,250,80126566,TV Show,Wartime Portraits,Poland,"September 15, 2016",2014,TV-MA,1 Season,"Docuseries, International TV Shows","Part live-action and part animation, this visually inventive series offers striking portrayals of some of the unsung heroes of World War II.",2016,September,Adults,Poland,"['Docuseries', 'International TV Shows']"
256,256,80243899,TV Show,Behind the Newsroom,United States,"September 14, 2018",2015,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Confident and cool under pressure, top news presenter Punchalee meets her match in the conniving Dao, who'll stop at nothing to fulfill her ambitions.",2018,September,Teens,United States,"['International TV Shows', 'Romantic TV Shows', 'TV Dramas']"
258,258,80220035,TV Show,Boca Juniors Confidential,United States,"September 14, 2018",2018,TV-PG,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows","Players, fans and staff of soccer powerhouse Boca Juniors provide an exclusive, behind-the-scenes look at Argentina's legendary club.",2018,September,Older Kids,United States,"['Docuseries', 'International TV Shows', 'Spanish-Language TV Shows']"
259,259,80194704,TV Show,Car Masters: Rust to Riches,United States,"September 14, 2018",2018,TV-PG,1 Season,Reality TV,"The colorful crew at Gotham Garage overhauls an eclectic collection of cars and trucks, trading up to a showstopper they can sell for big bucks.",2018,September,Older Kids,United States,['Reality TV']
260,260,80225949,TV Show,Norm Macdonald Has a Show,United States,"September 14, 2018",2018,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Comedian Norm Macdonald hosts his celebrity friends for casual conversations that range from silly to serious and take many unexpected turns.,2018,September,Adults,United States,"['Stand-Up Comedy & Talk Shows', 'TV Comedies']"
262,262,81002336,TV Show,Super Monsters Monster Party,United States,"September 14, 2018",2018,TV-Y,1 Season,Kids' TV,"Sing along and move to this groovy collection of music videos featuring monster friends Katya, Lobo, Zoe, Drac, Cleo and Frankie!",2018,September,Kids,United States,"[""Kids' TV""]"
265,265,80993613,TV Show,The Rise of Phoenixes,China,"September 14, 2018",2018,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Action & Adventure","When a secret from the past rears its head, a respected court scholar must choose between avenging her family and staying true to the prince she loves.",2018,September,Teens,China,"['International TV Shows', 'Romantic TV Shows', 'TV Action & Adventure']"
270,270,81095103,TV Show,Kabaneri of the Iron Fortress: The Battle of Unato,United States,"September 13, 2019",2019,TV-MA,1 Season,"Anime Series, International TV Shows, TV Horror","Ikoma and the Iron Fortress take their fight to the battlegrounds of Unato, joining the alliance to reclaim the region from the kabane horde.",2019,September,Adults,United States,"['Anime Series', 'International TV Shows', 'TV Horror']"
272,272,80217779,TV Show,Marianne,France,"September 13, 2019",2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror","Lured back to her hometown, a famous horror writer discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world.",2019,September,Adults,France,"['International TV Shows', 'TV Dramas', 'TV Horror']"
273,273,80211572,TV Show,Monarca,Mexico,"September 13, 2019",2019,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas","After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets.",2019,September,Adults,Mexico,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']"
277,277,80217669,TV Show,Top Boy,United Kingdom,"September 13, 2019",2019,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows","Two seasoned drug dealers return to the gritty streets of London, but their pursuit of money and power is threatened by a young and ruthless hustler.",2019,September,Adults,United Kingdom,"['British TV Shows', 'Crime TV Shows', 'International TV Shows']"
278,278,80153467,TV Show,Unbelievable,United States,"September 13, 2019",2019,TV-MA,1 Season,"Crime TV Shows, TV Dramas","After a young woman is accused of lying about a rape, two female detectives investigate a spate of eerily similar attacks. Inspired by true events.",2019,September,Adults,United States,"['Crime TV Shows', 'TV Dramas']"
282,282,80993062,TV Show,The I-Land,United States,"September 12, 2019",2019,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","Wiped clean of memories and thrown together, a group of strangers fight to survive harsh realities – and the island that traps them.",2019,September,Adults,United States,"['TV Action & Adventure', 'TV Dramas', 'TV Sci-Fi & Fantasy']"
283,283,81098586,TV Show,"The Mind, Explained",United States,"September 12, 2019",2019,TV-14,1 Season,"Docuseries, Science & Nature TV","Ever wonder what's happening inside your head? From dreaming to anxiety disorders, discover how your brain works with this illuminating series.",2019,September,Teens,United States,"['Docuseries', 'Science & Nature TV']"
285,285,81011508,TV Show,Life,South Korea,"September 12, 2018",2018,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Dramas","At Korea's top university medical center, ideals and interests collide between a patient-centered ER doctor and the hospital's newly-appointed CEO.",2018,September,Adults,South Korea,"['International TV Shows', 'Korean TV Shows', 'TV Dramas']"
289,289,80223685,TV Show,Daniel Sloss: Live Shows,United States,"September 11, 2018",2018,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedian Daniel Sloss is ready to find the funny in some very dark topics, from the deeply personal to the truly irreverent.",2018,September,Adults,United States,"['Stand-Up Comedy & Talk Shows', 'TV Comedies']"
290,290,80189586,TV Show,If I were an Animal,United States,"September 11, 2018",2018,TV-Y,1 Season,"Docuseries, Kids' TV, Science & Nature TV","Curious kids Emma and her big brother Tim observe different animals as they make their way through various life milestones, from birth to adulthood.",2018,September,Kids,United States,"['Docuseries', ""Kids' TV"", 'Science & Nature TV']"
297,297,81077065,TV Show,Terrace House: Tokyo 2019-2020,United States,"September 10, 2019",2019,TV-MA,1 Season,"International TV Shows, Reality TV","Six strangers share a fabulous house in Tokyo, looking for love while living under the same roof. With no script, what happens next is all up to them.",2019,September,Adults,United States,"['International TV Shows', 'Reality TV']"
307,307,81073764,TV Show,Loo Loo Kids: Johny & Friends Musical Adventures,United States,"September 1, 2019",2016,TV-Y,1 Season,Kids' TV,"Music-loving baby Johny goes on dance-filled adventures with his family, friends and adorable critters in this colorful, animated preschooler series.",2019,September,Kids,United States,"[""Kids' TV""]"
318,318,80241003,TV Show,Serial Killer with Piers Morgan,United Kingdom,"September 1, 2019",2018,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries","Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives.",2019,September,Teens,United Kingdom,"['British TV Shows', 'Crime TV Shows', 'Docuseries']"
328,328,81154900,TV Show,Transformers Rescue Bots Academy,United States,"September 1, 2019",2019,TV-Y,1 Season,Kids' TV,"As part of the first class at the Rescue Bots Academy, five Cybertron recruits train under their skilled teachers and take on daring rescue missions.",2019,September,Kids,United States,"[""Kids' TV""]"
329,329,81154956,TV Show,Transformers: Cyberverse,United States,"September 1, 2019",2018,TV-Y7,1 Season,Kids' TV,Optimus Prime and the AllSpark are missing – and only a memory-scrambled Bumblebee holds the key to finding them in this animated sci-fi series.,2019,September,Older Kids,United States,"[""Kids' TV""]"
