,Unnamed: 0,show_id,type,title,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,target_ages,principal_country,genre
50,50,70062814,Movie,Shutter,Thailand,"September 5, 2018",2004,TV-MA,96 min,"Horror Movies, International Movies","After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.",2018,September,Adults,Thailand,"['Horror Movies', 'International Movies']"
51,51,80158839,Movie,Suckseed,Thailand,"September 5, 2018",2011,TV-MA,130 min,"Comedies, International Movies","When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group.",2018,September,Adults,Thailand,"['Comedies', 'International Movies']"
52,52,80147760,Movie,Carrie Pilby,United States,"September 5, 2017",2016,TV-14,98 min,"Comedies, Dramas","A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.",2017,September,Teens,United States,"['Comedies', 'Dramas']"
53,53,80177405,Movie,Marc Maron: Too Real,United States,"September 5, 2017",2017,TV-MA,70 min,Stand-Up Comedy,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",2017,September,Adults,United States,['Stand-Up Comedy']
55,55,81160036,Movie,Saawan,Pakistan,"September 4, 2019",2016,TV-14,128 min,"Dramas, Independent Movies, International Movies","Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story.",2019,September,Teens,Pakistan,"['Dramas', 'Independent Movies', 'International Movies']"
56,56,81173255,Movie,The Heretics,Canada,"September 4, 2019",2017,TV-MA,88 min,Horror Movies,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.,2019,September,Adults,Canada,['Horror Movies']
57,57,81078908,Movie,The World We Make,United States,"September 4, 2019",2019,PG,108 min,"Dramas, Romantic Movies","A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test.",2019,September,Older Kids,United States,"['Dramas', 'Romantic Movies']"
58,58,81155784,Movie,Watchman,India,"September 4, 2019",2019,TV-14,93 min,"Comedies, Dramas, International Movies","Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside.",2019,September,Teens,India,"['Comedies', 'Dramas', 'International Movies']"
59,59,80201906,Movie,Black Panther,United States,"September 4, 2018",2018,PG-13,135 min,"Action & Adventure, Sci-Fi & Fantasy","T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new.",2018,September,Teens,United States,"['Action & Adventure', 'Sci-Fi & Fantasy']"
60,60,80052612,Movie,Man Up,"United Kingdom, France","September 4, 2018",2015,R,88 min,"Comedies, International Movies, Romantic Movies","A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date.",2018,September,Adults,United Kingdom,"['Comedies', 'International Movies', 'Romantic Movies']"
62,62,81054495,Movie,Mo Gilligan: Momentum,United Kingdom,"September 30, 2019",2019,TV-MA,64 min,Stand-Up Comedy,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club.",2019,September,Adults,United Kingdom,['Stand-Up Comedy']
65,65,70212504,Movie,Big Miracle,"United States, United Kingdom","September 30, 2018",2012,PG,107 min,"Children & Family Movies, Dramas","After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events.",2018,September,Older Kids,United States,"['Children & Family Movies', 'Dramas']"
71,71,80187061,Movie,The Mayor,South Korea,"September 30, 2017",2017,TV-MA,130 min,"Dramas, International Movies","With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden.",2017,September,Adults,South Korea,"['Dramas', 'International Movies']"
73,73,80081155,Movie,Amanda Knox,"Denmark, United States","September 30, 2016",2016,TV-MA,92 min,Documentaries,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.,2016,September,Adults,Denmark,['Documentaries']
75,75,80198585,Movie,The Debt Collector,"United Kingdom, United States","September 3, 2018",2018,TV-MA,96 min,Action & Adventure,"A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection.",2018,September,Adults,United Kingdom,['Action & Adventure']
76,76,70233894,Movie,Act of Vengeance,"Turkey, United States","September 29, 2018",2010,NR,112 min,"Action & Adventure, International Movies","Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist).",2018,September,Adults,Turkey,"['Action & Adventure', 'International Movies']"
77,77,81011955,Movie,Paradise Lost,Brazil,"September 29, 2018",2018,TV-MA,111 min,"Dramas, Independent Movies, International Movies","A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there.",2018,September,Adults,Brazil,"['Dramas', 'Independent Movies', 'International Movies']"
78,78,80128722,Movie,Gerald's Game,United States,"September 29, 2017",2017,TV-MA,103 min,"Horror Movies, Thrillers","When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice.",2017,September,Adults,United States,"['Horror Movies', 'Thrillers']"
79,79,80182115,Movie,Long Shot,United States,"September 29, 2017",2017,TV-14,40 min,Documentaries,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary.",2017,September,Teens,United States,['Documentaries']
81,81,80104068,Movie,Our Souls at Night,United States,"September 29, 2017",2017,TV-14,103 min,"Dramas, Romantic Movies","After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom.",2017,September,Teens,United States,"['Dramas', 'Romantic Movies']"
82,82,80119349,Movie,Out of Thin Air,United States,"September 29, 2017",2017,TV-14,85 min,"Documentaries, International Movies","Picking up 40 years after six were convicted for two strange murders in Iceland, this chilling documentary proves confessions can’t always be trusted.",2017,September,Teens,United States,"['Documentaries', 'International Movies']"
85,85,80019931,Movie,"Monster High: Boo York, Boo York",United States,"September 29, 2015",2015,TV-Y7,72 min,"Children & Family Movies, Music & Musicals",Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans.,2015,September,Older Kids,United States,"['Children & Family Movies', 'Music & Musicals']"
86,86,81053893,Movie,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,United States,"September 28, 2019",2019,TV-G,45 min,"Documentaries, International Movies",An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki University’s Aqua Culture Research Institute.,2019,September,Kids,United States,"['Documentaries', 'International Movies']"
87,87,80200087,Movie,Domino,"Denmark, France, Italy, Belgium, Netherlands","September 28, 2019",2019,R,89 min,"International Movies, Thrillers","A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage.",2019,September,Adults,Denmark,"['International Movies', 'Thrillers']"
88,88,81053892,Movie,TUNA GIRL,United States,"September 28, 2019",2019,TV-PG,90 min,"Dramas, International Movies",A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.,2019,September,Older Kids,United States,"['Dramas', 'International Movies']"
89,89,81002850,Movie,5CM,Indonesia,"September 28, 2018",2012,TV-14,126 min,"Dramas, International Movies","Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship.",2018,September,Teens,Indonesia,"['Dramas', 'International Movies']"
90,90,81004470,Movie,Animal World,China,"September 28, 2018",2018,TV-MA,130 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy","An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host.",2018,September,Adults,China,"['Action & Adventure', 'International Movies', 'Sci-Fi & Fantasy']"
91,91,80157072,Movie,Hold the Dark,United States,"September 28, 2018",2018,TV-MA,126 min,"Action & Adventure, Dramas","In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery.",2018,September,Adults,United States,"['Action & Adventure', 'Dramas']"
92,92,81001809,Movie,Lessons from a School Shooting: Notes from Dunblane,United States,"September 28, 2018",2018,TV-PG,24 min,Documentaries,"Two priests – one from Dunblane, Scotland, the other from Newtown, Connecticut – bond over school tragedies that occurred 16 years apart.",2018,September,Older Kids,United States,['Documentaries']
94,94,81002864,Movie,Single,Indonesia,"September 28, 2018",2015,TV-PG,127 min,"Comedies, International Movies, Romantic Movies","Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother.",2018,September,Older Kids,Indonesia,"['Comedies', 'International Movies', 'Romantic Movies']"
95,95,81016750,Movie,The 3rd Eye,Indonesia,"September 28, 2018",2018,TV-MA,108 min,"Horror Movies, International Movies","When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home.",2018,September,Adults,Indonesia,"['Horror Movies', 'International Movies']"
96,96,81002866,Movie,The Sinking Of Van Der Wijck,Indonesia,"September 28, 2018",2013,TV-14,163 min,"Dramas, International Movies, Romantic Movies","When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background.",2018,September,Teens,Indonesia,"['Dramas', 'International Movies', 'Romantic Movies']"
97,97,80992039,Movie,Two Catalonias,Spain,"September 28, 2018",2018,TV-MA,117 min,"Documentaries, International Movies",Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.,2018,September,Adults,Spain,"['Documentaries', 'International Movies']"
98,98,80126507,Movie,Bobby Sands: 66 Days,"Ireland, United Kingdom","September 28, 2017",2016,TV-14,106 min,Documentaries,"In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon.",2017,September,Teens,Ireland,['Documentaries']
100,100,81132443,Movie,Deliha 2,Turkey,"September 27, 2019",2018,TV-PG,102 min,"Comedies, International Movies","While chasing her dream of becoming a chef, Zeliha cooks up trouble in the kitchen with her wild, kooky and unsuspecting ways.",2019,September,Older Kids,Turkey,"['Comedies', 'International Movies']"
102,102,80231903,Movie,In the Shadow of the Moon,United States,"September 27, 2019",2019,TV-MA,116 min,"Dramas, Sci-Fi & Fantasy, Thrillers",A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation.,2019,September,Adults,United States,"['Dramas', 'Sci-Fi & Fantasy', 'Thrillers']"
104,104,81171121,Movie,Sturgill Simpson Presents Sound & Fury,United States,"September 27, 2019",2019,TV-MA,42 min,"Anime Features, Music & Musicals, Sci-Fi & Fantasy","In this anime visual album, a mysterious driver heads deep into a postapocalyptic hellscape toward a ferocious showdown with two monstrous opponents.",2019,September,Adults,United States,"['Anime Features', 'Music & Musicals', 'Sci-Fi & Fantasy']"
106,106,81012295,Movie,Weeds on Fire,Hong Kong,"September 27, 2018",2016,TV-14,95 min,"Dramas, Independent Movies, International Movies","In 1980s Hong Kong, a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league.",2018,September,Teens,Hong Kong,"['Dramas', 'Independent Movies', 'International Movies']"
107,107,80060037,Movie,Much Loved,"France, Morocco","September 27, 2017",2015,TV-MA,104 min,"Dramas, Independent Movies, International Movies",Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession.,2017,September,Adults,France,"['Dramas', 'Independent Movies', 'International Movies']"
108,108,60003155,Movie,Joseph: King of Dreams,United States,"September 27, 2011",2000,TV-PG,75 min,"Children & Family Movies, Dramas, Faith & Spirituality","With his gift of dream interpretation and his brilliantly colored coat, Joseph inspires jealousy in his brothers in this animated Bible story.",2011,September,Older Kids,United States,"['Children & Family Movies', 'Dramas', 'Faith & Spirituality']"
109,109,81177238,Movie,Malaal,India,"September 26, 2019",2019,TV-14,133 min,"International Movies, Romantic Movies","Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new, North Indian resident of his chawl.",2019,September,Teens,India,"['International Movies', 'Romantic Movies']"
110,110,70270775,Movie,The Grandmaster,"Hong Kong, China","September 26, 2019",2013,PG-13,108 min,"Action & Adventure, Dramas, International Movies","As the Japanese invasion looms, Chinese kung fu master Ip Man's world changes when rival master Gong Er and her father arrive in his village.",2019,September,Teens,Hong Kong,"['Action & Adventure', 'Dramas', 'International Movies']"
112,112,80215923,Movie,The Hurricane Heist,United States,"September 26, 2018",2018,PG-13,103 min,Action & Adventure,A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi.,2018,September,Teens,United States,['Action & Adventure']
113,113,80151483,Movie,Def Comedy Jam 25,United States,"September 26, 2017",2017,TV-MA,82 min,Stand-Up Comedy,"In this special live event, giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam.""",2017,September,Adults,United States,['Stand-Up Comedy']
114,114,80173625,Movie,Restless Creature: Wendy Whelan,United States,"September 26, 2017",2016,TV-MA,94 min,Documentaries,"After 30 years with the New York City Ballet, celebrated dancer Wendy Whelan redefines herself as an artist in a new stage of life.",2017,September,Adults,United States,['Documentaries']
115,115,80005444,Movie,Print the Legend,United States,"September 26, 2014",2014,TV-14,100 min,Documentaries,"This award-winning, original documentary chronicles the race for market leadership in 3D printing, the next wave of technological evolution.",2014,September,Teens,United States,['Documentaries']
116,116,80244682,Movie,Birders,"United States, Mexico","September 25, 2019",2019,TV-G,38 min,"Documentaries, International Movies",Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species.,2019,September,Kids,United States,"['Documentaries', 'International Movies']"
117,117,81075519,Movie,Furie,Vietnam,"September 25, 2019",2019,TV-MA,97 min,"Action & Adventure, Dramas, International Movies","When traffickers kidnap her daughter from their village, vengeful Hai Phuong returns to Saigon – and her outlaw roots – to take down the abductors.",2019,September,Adults,Vietnam,"['Action & Adventure', 'Dramas', 'International Movies']"
118,118,80166318,Movie,Leap!,"France, Canada","September 25, 2019",2016,PG,89 min,"Children & Family Movies, Comedies","Félicie and Victor, two young friends in 1880s France, escape from an orphanage to pursue their dreams in Paris, the glittering City of Lights.",2019,September,Older Kids,France,"['Children & Family Movies', 'Comedies']"
119,119,81186758,Movie,Oh! Baby (Malayalam),India,"September 25, 2019",2019,TV-14,146 min,"Comedies, International Movies, Music & Musicals",A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.,2019,September,Teens,India,"['Comedies', 'International Movies', 'Music & Musicals']"
120,120,81186757,Movie,Oh! Baby (Tamil),India,"September 25, 2019",2019,TV-14,146 min,"Comedies, International Movies, Music & Musicals",A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life.,2019,September,Teens,India,"['Comedies', 'International Movies', 'Music & Musicals']"
121,121,80108976,Movie,USS Indianapolis: Men of Courage,United States,"September 25, 2019",2016,R,130 min,Action & Adventure,"After becoming stranded in the Philippine Sea during World War II, a tenacious Navy crew faces a dire lack of supplies and a string of shark attacks.",2019,September,Adults,United States,['Action & Adventure']
122,122,80208155,Movie,A Wrinkle in Time,United States,"September 25, 2018",2018,PG,110 min,Children & Family Movies,"Years after their father disappears, Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness.",2018,September,Older Kids,United States,['Children & Family Movies']
123,123,80198423,Movie,Teach Us All,United States,"September 25, 2017",2017,TV-14,81 min,Documentaries,"It's been decades since Brown v. Board of Education, yet American schools remain largely segregated. Some leaders are working to change that.",2017,September,Teens,United States,['Documentaries']
